time,speed,throttle,brake,gear
1774799553.684026,0,0,0,0
1774799553.8580117,0,0,0,0
1774799554.0890796,0,0,0,0
1774799554.2804468,0,0,0,0
1774799554.4929419,0,0,0,0
1774799554.646087,0,0,0,0
1774799555.429716,0,0,0,0
1774799555.5448513,0,0,0,0
1774799557.2749534,0,0,0,0
1774799557.431323,0,0,0,0
1774799557.528433,0,0,0,0
1774799557.6335318,0,0,0,0
1774799557.8580031,0,0,0,0
1774799557.9480004,0,0,0,0
1774799558.058801,0,0,0,0
1774799558.1474864,0,0,0,0
1774799558.1940086,0,0,0,0
1774799558.3315372,0,0,0,0
1774799560.635312,0,0,0,0
1774799560.7400198,0,0,0,0
1774799562.2562318,0,0,0,0
1774799562.358117,0,0,0,0
1774799562.5586126,0,0,0,0
1774799562.6711938,0,0,0,0
1774799562.7357085,0,0,0,0
1774799562.8551323,0,0,0,0
1774799562.9301498,0,0,0,0
1774799563.0372608,0,0,0,0
1774799563.1772392,0,0,0,0
1774799563.3064642,0,0,0,0
1774799563.445823,0,0,0,0
1774799563.5697396,0,0,0,0
1774799563.7798154,0,0,0,0
1774799563.9141922,0,0,0,0
1774799564.4729278,0,0,0,0
1774799564.5687478,0,0,0,0
1774799567.3415673,0,0,0,0
1774799567.470329,0,0,0,0
1774799568.136715,0,0,0,0
1774799569.066228,0,0,0,0
1774799569.3913524,0,0,0,0
1774799569.4934003,0,0,0,0
1774799569.8486464,0,0,0,0
1774799569.9732857,0,0,0,0
1774799570.3502164,0,0,0,0
1774799570.4367898,0,0,0,0
1774799571.4093163,0,0,0,0
1774799571.4226778,0,0,0,0
1774799573.7897792,0,0,0,0
1774799574.0166378,0,0,0,0
1774799574.7716768,0,0,0,0
1774799574.8181324,0,0,0,0
1774799574.9183116,0,0,0,0
1774799575.0258183,0,0,0,0
1774799575.300264,0,0,0,0
1774799577.7022073,0,0,0,0
1774799578.074256,0,0,0,0
1774799578.1684794,0,0,0,0
1774799578.3004649,0,0,0,0
1774799578.4162142,0,0,0,0
1774799578.6509414,0,0,0,0
1774799578.7472932,0,0,0,0
1774799579.798917,0,0,0,0
1774799579.8860965,0,0,0,0
1774799580.0440145,0,0,0,0
1774799580.1594255,0,0,0,0
1774799580.2773166,0,0,0,0
1774799580.3976705,0,0,0,0
1774799580.524513,0,0,0,0
1774799580.5904617,0,0,0,0
1774799580.8265316,0,0,0,0
1774799580.900366,0,0,0,0
1774799581.0132256,0,0,0,0
1774799581.0265286,0,0,0,0
1774799594.436743,124,117,79,131
1774799594.6006384,124,117,79,131
1774799595.0051217,124,117,79,131
1774799595.0056732,124,117,79,131
1774799595.0056868,124,117,79,131
1774799595.0057025,124,117,79,131
1774799595.0057178,124,117,79,131
1774799595.005724,124,117,79,131
1774799595.0057416,124,117,79,131
1774799595.0057533,124,117,79,131
1774799595.0057588,124,117,79,131
1774799595.0057995,124,117,79,131
1774799595.0058057,124,117,79,131
1774799595.0058362,124,117,79,131
1774799595.005845,124,117,79,131
1774799595.0616086,124,117,79,131
1774799595.0616257,124,117,79,131
1774799595.0616298,124,117,79,131
1774799595.0616329,124,117,79,131
1774799595.061642,124,117,79,131
1774799595.0616455,124,117,79,131
1774799595.112712,124,117,79,131
1774799595.1127338,124,117,79,131
1774799595.1127384,124,117,79,131
1774799595.1127422,124,117,79,131
1774799595.1127455,124,117,79,131
1774799595.1127484,124,117,79,131
1774799595.112759,124,117,79,131
