Id,Id (group),Sector,Geometry,Geometry,Geometry,Geometry,Latitude (generated),Longitude (generated)
,,Sector 3,LineString,,,,-23.698720550,-46.698668392
,,Sector 2,LineString,,,,-23.700192126,-46.698039449
,,Sector 1,LineString,,,,-23.705470028,-46.697220586
,,,,MultiPolygon,,,-23.708661125,-46.697220465
,,,,,MultiLineString,,-23.694630380,-46.678791325
15,S3,,,,,Point,-23.701014463,-46.700554733
14,S3,,,,,Point,-23.697947461,-46.699674006
13,S3,,,,,Point,-23.696969945,-46.697312011
12,S3,,,,,Point,-23.697477049,-46.696117697
11,S2,,,,,Point,-23.699386307,-46.697779071
10,S2,,,,,Point,-23.698466815,-46.699490485
9,S2,,,,,Point,-23.700623469,-46.698643159
8,S2,,,,,Point,-23.700541004,-46.699830769
7,S2,,,,,Point,-23.702101933,-46.699690706
6,S2,,,,,Point,-23.702340186,-46.698476339
5,S2,,,,,Point,-23.699355710,-46.695645639
4,S2,,,,,Point,-23.699663507,-46.694082638
3,S1,,,,,Point,-23.706275360,-46.696933390
2,S1,,,,,Point,-23.705947023,-46.698065963
1,S1,,,,,Point,-23.706399089,-46.698868308
