structure,field_name,data_type,array_length,current_value,unit,category,description,update_frequency,used_by_backend,exposed_by_api,notes
Physics,packetId,c_long,1,2260314,integer/enum,unknown,Incrementing packet counter for the shared memory page.,high_frequency_physics_tick,False,False,primary ctypes struct; also implemented in backend/core/ac_shared_memory.py
Physics,gas,c_float,1,1.0,0-1,car_controls,Throttle input.,high_frequency_physics_tick,True,True,primary ctypes struct; also implemented in backend/core/ac_shared_memory.py
Physics,brake,c_float,1,0.0,0-1,brakes,Brake input.,high_frequency_physics_tick,True,True,primary ctypes struct; also implemented in backend/core/ac_shared_memory.py
Physics,fuel,c_float,1,27.407405853271484,L/laps,fuel,Current fuel amount.,high_frequency_physics_tick,False,False,primary ctypes struct; also implemented in backend/core/ac_shared_memory.py
Physics,gear,c_long,1,5,integer/enum,drivetrain,"Raw AC gear value: 0=reverse, 1=neutral, 2=first gear.",high_frequency_physics_tick,True,True,primary ctypes struct; also implemented in backend/core/ac_shared_memory.py
Physics,rpms,c_long,1,7281,rpm,engine,Engine speed.,high_frequency_physics_tick,True,True,primary ctypes struct; also implemented in backend/core/ac_shared_memory.py
Physics,steerAngle,c_float,1,-0.03749338909983635,rad,car_controls,Steering input/angle reported by AC.,high_frequency_physics_tick,True,True,primary ctypes struct; also implemented in backend/core/ac_shared_memory.py
Physics,speedKmh,c_float,1,192.5050811767578,km/h,car_speed,Current car speed in km/h.,high_frequency_physics_tick,True,True,primary ctypes struct; also implemented in backend/core/ac_shared_memory.py
Physics,velocity,c_float,3,"[-50.56578826904297, 4.6236162185668945, 16.767620086669922]",m/s,car_speed,Car velocity vector.,high_frequency_physics_tick,False,False,primary ctypes struct; also implemented in backend/core/ac_shared_memory.py
Physics,accG,c_float,3,"[0.9968234300613403, 0.3110707104206085, 0.3157564103603363]",g,car_speed,Acceleration vector in G.,high_frequency_physics_tick,True,True,primary ctypes struct; also implemented in backend/core/ac_shared_memory.py
Physics,wheelSlip,c_float,4,"[0.09451243281364441, 0.17167802155017853, 0.1267136186361313, 0.2302388995885849]",ratio,tyres,"Wheel slip per wheel. Wheel arrays are usually ordered LF, RF, LR, RR in AC shared memory.",high_frequency_physics_tick,True,True,primary ctypes struct; also implemented in backend/core/ac_shared_memory.py
Physics,wheelLoad,c_float,4,"[934.6050415039062, 3280.82177734375, 4407.572265625, 5274.294921875]",N,tyres,"Wheel load per wheel. Wheel arrays are usually ordered LF, RF, LR, RR in AC shared memory.",high_frequency_physics_tick,False,False,primary ctypes struct; also implemented in backend/core/ac_shared_memory.py
Physics,wheelsPressure,c_float,4,"[19.896671295166016, 20.589523315429688, 18.708084106445312, 18.93136215209961]",psi,tyres,"Tyre pressure per wheel. Wheel arrays are usually ordered LF, RF, LR, RR in AC shared memory.",high_frequency_physics_tick,False,False,primary ctypes struct; also implemented in backend/core/ac_shared_memory.py
